clip_id,category,accent,domain,language,voice,reference_text,generated_audio,gnani_tts_latency_sec,whisper_transcript,whisper_latency_sec,normalized_reference,normalized_hypothesis,wer,cer,w_subs,w_dels,w_ins,c_subs,c_dels,c_ins,evaluation_status,notes,pronunciation_correctness,intelligibility,naturalness,prosody,overall_quality,human_comments
medical_0011,Medical,,misc_medical,en-IN,Yashvi,"Dolo 650 tablet thrice a day after meals for 5 days. Panto DSR 40 for 6 days, once a day before breakfast, and give gelusil tablet, give Eno sachet, and also take Calpol, take glimepiride.",/Users/hemanth/Coding & Staff/Gnani_ai/tts_results/generated_audio/medical_0011.wav,53.1597,"Dolo 650 tablet thrice a day after meals for 5 days.
 Panto DSR 40 for 6 days, once a day before breakfast.
 And give Jalusil tablet, give Eno sachet and also take Calpol, take Glymparide.",1.3386,dolo 650 tablet thrice a day after meals for 5 days panto dsr 40 for 6 days once a day before breakfast and give gelusil tablet give eno sachet and also take calpol take glimepiride,dolo 650 tablet thrice a day after meals for 5 days panto dsr 40 for 6 days once a day before breakfast and give jalusil tablet give eno sachet and also take calpol take glymparide,0.05714285714285714,0.034013605442176874,2,0,0,4,1,0,ok,,,,,,,
medical_0012,Medical,,misc_medical,en-IN,Yashvi,"Zecuf cough syrup 3 times a day for 5 days. Allegra, 120 mg 2 times a day for 5 days, and vitamin D and B 3 times a day for a week.",/Users/hemanth/Coding & Staff/Gnani_ai/tts_results/generated_audio/medical_0012.wav,1.5261,"Zekuv cough syrup 3 times a day for 5 days.
 Allegra 120 mg 2 times a day for 5 days.
 And vitamin D and B 3 times a day for a week.",1.1347,zecuf cough syrup 3 times a day for 5 days allegra 120 mg 2 times a day for 5 days and vitamin d and b 3 times a day for a week,zekuv cough syrup 3 times a day for 5 days allegra 120 mg 2 times a day for 5 days and vitamin d and b 3 times a day for a week,0.03125,0.020833333333333332,1,0,0,2,0,0,ok,,,,,,,
medical_0013,Medical,,misc_medical,en-IN,Yashvi,"Advices is take some steam and take rest and have fun, whatever.",/Users/hemanth/Coding & Staff/Gnani_ai/tts_results/generated_audio/medical_0013.wav,0.8457,"Advice is take some steam and take rest and have fun, whatever.",0.8698,advices is take some steam and take rest and have fun whatever,advice is take some steam and take rest and have fun whatever,0.08333333333333333,0.0196078431372549,1,0,0,0,1,0,ok,,,,,,,
medical_0014,Medical,,misc_medical,en-IN,Yashvi,cold blocked nose and Cough. The possible diagnosis is it could be influenza since 3 days or it could be dengue or malaria. Lab investigation of dengue and malaria suggested for the patient.,/Users/hemanth/Coding & Staff/Gnani_ai/tts_results/generated_audio/medical_0014.wav,1.643,"cold blocked nose and cough.
 The possible diagnosis is it could be influenza since 3 days
 or it could be dengue or malaria.
 Lab investigation of dengue and malaria suggested for the patient.",1.1445,cold blocked nose and cough the possible diagnosis is it could be influenza since 3 days or it could be dengue or malaria lab investigation of dengue and malaria suggested for the patient,cold blocked nose and cough the possible diagnosis is it could be influenza since 3 days or it could be dengue or malaria lab investigation of dengue and malaria suggested for the patient,0.0,0.0,0,0,0,0,0,0,ok,,,,,,,
medical_0015,Medical,,misc_medical,en-IN,Yashvi,"Her lab results say vitamin B12 is 300 mg per mL and HbA1C is 6. she has symptoms of fever, pain in throat.",/Users/hemanth/Coding & Staff/Gnani_ai/tts_results/generated_audio/medical_0015.wav,1.4186,"Her lab results say vitamin B12 is 300 mg/mL and HbA1c is 6.
 She has symptoms of fever, pain in throat.",1.0489,her lab results say vitamin b12 is 300 mg per ml and hba1c is 6 she has symptoms of fever pain in throat,her lab results say vitamin b12 is 300 mgml and hba1c is 6 she has symptoms of fever pain in throat,0.13043478260869565,0.036585365853658534,1,2,0,0,3,0,ok,,,,,,,
medical_0016,Medical,,misc_medical,en-IN,Yashvi,"Hey, hello. Patient's name is Arya and he is 30 years old. Patient should take Dolo 650 three times a day for the next three days and he should take Crocin for the next one week, SOS.",/Users/hemanth/Coding & Staff/Gnani_ai/tts_results/generated_audio/medical_0016.wav,1.6277,"Hey, hello.
 Patient's name is Arya and he is 30 years old.
 Patient should take Dolo 653 times a day for the next 3 days
 and he should take Crosin for the next 1 week.
 SOS.",1.2698,hey hello patients name is arya and he is 30 years old patient should take dolo 650 three times a day for the next three days and he should take crocin for the next one week sos,hey hello patients name is arya and he is 30 years old patient should take dolo 653 times a day for the next 3 days and he should take crosin for the next 1 week sos,0.13513513513513514,0.10638297872340426,4,1,0,4,11,0,ok,,,,,,,
medical_0017,Medical,,misc_medical,en-IN,Yashvi,Do not eat junk food. I prescribe Dolo 650 for next 5 days. Patient's mother is having hypertension since last 5 years.,/Users/hemanth/Coding & Staff/Gnani_ai/tts_results/generated_audio/medical_0017.wav,1.4766,"Do not eat junk food. I prescribe DOLO 650 for next 5 days.
 Patient's mother is having hypertension since last 5 years.",1.0118,do not eat junk food i prescribe dolo 650 for next 5 days patients mother is having hypertension since last 5 years,do not eat junk food i prescribe dolo 650 for next 5 days patients mother is having hypertension since last 5 years,0.0,0.0,0,0,0,0,0,0,ok,,,,,,,
medical_0018,Medical,,misc_medical,en-IN,Yashvi,"Patient is having severe body ache. Please take rest and drink lots of fluids,.",/Users/hemanth/Coding & Staff/Gnani_ai/tts_results/generated_audio/medical_0018.wav,0.8494,Patient is having severe body ache. Please take rest and drink lots of fluids.,0.8806,patient is having severe body ache please take rest and drink lots of fluids,patient is having severe body ache please take rest and drink lots of fluids,0.0,0.0,0,0,0,0,0,0,ok,,,,,,,
medical_0019,Medical,,misc_medical,en-IN,Yashvi,"I also prescribe, HbA1C lab test.",/Users/hemanth/Coding & Staff/Gnani_ai/tts_results/generated_audio/medical_0019.wav,1.1764,I also prescribe HbA1c lab test.,0.8369,i also prescribe hba1c lab test,i also prescribe hba1c lab test,0.0,0.0,0,0,0,0,0,0,ok,,,,,,,
medical_0020,Medical,,misc_medical,en-IN,Yashvi,"consultation. Patient is having mild fever, headache, and body ache. I prescribe him Dolo 650 for the next 5 days. Please take care.",/Users/hemanth/Coding & Staff/Gnani_ai/tts_results/generated_audio/medical_0020.wav,1.7998,"Consultation. Patient is having mild fever, headache and body ache.
 I prescribe him Dolo 650 for the next 5 days. Please take care.",1.0374,consultation patient is having mild fever headache and body ache i prescribe him dolo 650 for the next 5 days please take care,consultation patient is having mild fever headache and body ache i prescribe him dolo 650 for the next 5 days please take care,0.0,0.0,0,0,0,0,0,0,ok,,,,,,,
medical_0021,Medical,,misc_medical,en-IN,Yashvi,And come see me after 7 days.,/Users/hemanth/Coding & Staff/Gnani_ai/tts_results/generated_audio/medical_0021.wav,0.5514,and come see me after 7 days.,0.798,and come see me after 7 days,and come see me after 7 days,0.0,0.0,0,0,0,0,0,0,ok,,,,,,,
medical_0022,Medical,,misc_medical,en-IN,Yashvi,"Make sure that you have one every day. For your back, put some Volitra lotion slash gel on the lower back before you go to bed.",/Users/hemanth/Coding & Staff/Gnani_ai/tts_results/generated_audio/medical_0022.wav,1.0374,"Make sure that you have one every day.
 For your back, put some Volitra lotion slash gel on the lower back before you go to bed.",1.0289,make sure that you have one every day for your back put some volitra lotion slash gel on the lower back before you go to bed,make sure that you have one every day for your back put some volitra lotion slash gel on the lower back before you go to bed,0.0,0.0,0,0,0,0,0,0,ok,,,,,,,
medical_0023,Medical,,misc_medical,en-IN,Yashvi,"Post lunch, Take, do warm water gargles, morning and evening, Also, azithromycin, it's an antibiotic. It'll help, If there are any bacterial infections.",/Users/hemanth/Coding & Staff/Gnani_ai/tts_results/generated_audio/medical_0023.wav,1.5534,"Post lunch, take, do warm water gargles morning and evening.
 Also, azithromycin. It's an antibiotic.
 It'll help if there are any bacterial infections.",1.1452,post lunch take do warm water gargles morning and evening also azithromycin its an antibiotic itll help if there are any bacterial infections,post lunch take do warm water gargles morning and evening also azithromycin its an antibiotic itll help if there are any bacterial infections,0.0,0.0,0,0,0,0,0,0,ok,,,,,,,
medical_0024,Medical,,misc_medical,en-IN,Yashvi,"3 times in a day. Allegra 120 mg for your infection and allergies, once in a day.",/Users/hemanth/Coding & Staff/Gnani_ai/tts_results/generated_audio/medical_0024.wav,1.4452,3 times in a day. Allegra 120 mg for your infection and allergies once in a day.,0.9214,3 times in a day allegra 120 mg for your infection and allergies once in a day,3 times in a day allegra 120 mg for your infection and allergies once in a day,0.0,0.0,0,0,0,0,0,0,ok,,,,,,,
p273_293,General_English,English,General_English,en-IN,Yashvi,And they were being paid ?,/Users/hemanth/Coding & Staff/Gnani_ai/tts_results/generated_audio/p273_293.wav,0.4498,And they were being paid.,0.7862,and they were being paid,and they were being paid,0.0,0.0,0,0,0,0,0,0,ok,,,,,,,
p236_468,General_English,English,General_English,en-IN,Yashvi,The bill would be massive.,/Users/hemanth/Coding & Staff/Gnani_ai/tts_results/generated_audio/p236_468.wav,0.6903,The bill would be massive.,0.7762,the bill would be massive,the bill would be massive,0.0,0.0,0,0,0,0,0,0,ok,,,,,,,
p226_093,General_English,English,General_English,en-IN,Yashvi,It's never too late.,/Users/hemanth/Coding & Staff/Gnani_ai/tts_results/generated_audio/p226_093.wav,0.4806,It's never too late.,0.7757,its never too late,its never too late,0.0,0.0,0,0,0,0,0,0,ok,,,,,,,
p256_223,General_English,English,General_English,en-IN,Yashvi,At the top of the structure will remain the post of headteacher.,/Users/hemanth/Coding & Staff/Gnani_ai/tts_results/generated_audio/p256_223.wav,0.9964,At the top of the structure will remain the post of headteacher.,0.8881,at the top of the structure will remain the post of headteacher,at the top of the structure will remain the post of headteacher,0.0,0.0,0,0,0,0,0,0,ok,,,,,,,
p282_143,General_English,English,General_English,en-IN,Yashvi,He felt that everything that was said about asylum seekers was negative.,/Users/hemanth/Coding & Staff/Gnani_ai/tts_results/generated_audio/p282_143.wav,0.8294,He felt that everything that was said about asylum seekers was negative.,0.8489,he felt that everything that was said about asylum seekers was negative,he felt that everything that was said about asylum seekers was negative,0.0,0.0,0,0,0,0,0,0,ok,,,,,,,
p274_225,General_English,English,General_English,en-IN,Yashvi,"Suddenly, the Fir Park side were in disarray.)",/Users/hemanth/Coding & Staff/Gnani_ai/tts_results/generated_audio/p274_225.wav,0.7986,"Suddenly, the fir park side were in disarray.",0.837,suddenly the fir park side were in disarray,suddenly the fir park side were in disarray,0.0,0.0,0,0,0,0,0,0,ok,,,,,,,
p227_324,General_English,English,General_English,en-IN,Yashvi,McNaughton was not so sure.,/Users/hemanth/Coding & Staff/Gnani_ai/tts_results/generated_audio/p227_324.wav,0.5921,McNaughton was not so sure.,0.7994,mcnaughton was not so sure,mcnaughton was not so sure,0.0,0.0,0,0,0,0,0,0,ok,,,,,,,
p257_063,General_English,English,General_English,en-IN,Yashvi,Have a look at our accounts.,/Users/hemanth/Coding & Staff/Gnani_ai/tts_results/generated_audio/p257_063.wav,0.4748,Have a look at our accounts.,0.7969,have a look at our accounts,have a look at our accounts,0.0,0.0,0,0,0,0,0,0,ok,,,,,,,
p228_043,General_English,English,General_English,en-IN,Yashvi,It is urgent.,/Users/hemanth/Coding & Staff/Gnani_ai/tts_results/generated_audio/p228_043.wav,0.4163,It is urgent.,0.7471,it is urgent,it is urgent,0.0,0.0,0,0,0,0,0,0,ok,,,,,,,
p258_320,General_English,English,General_English,en-IN,Yashvi,My body is clearly capable.,/Users/hemanth/Coding & Staff/Gnani_ai/tts_results/generated_audio/p258_320.wav,0.5481,My body is clearly capable.,0.7804,my body is clearly capable,my body is clearly capable,0.0,0.0,0,0,0,0,0,0,ok,,,,,,,
p267_320,General_English,English,General_English,en-IN,Yashvi,He declined to reveal the offer price which was accepted.,/Users/hemanth/Coding & Staff/Gnani_ai/tts_results/generated_audio/p267_320.wav,0.7426,He declined to reveal the offer price which was accepted.,0.8332,he declined to reveal the offer price which was accepted,he declined to reveal the offer price which was accepted,0.0,0.0,0,0,0,0,0,0,ok,,,,,,,
p239_051,General_English,English,General_English,en-IN,Yashvi,New York is my home.,/Users/hemanth/Coding & Staff/Gnani_ai/tts_results/generated_audio/p239_051.wav,0.7025,New York is my home.,0.7753,new york is my home,new york is my home,0.0,0.0,0,0,0,0,0,0,ok,,,,,,,
p229_386,General_English,English,General_English,en-IN,Yashvi,Three years ago he would have been.,/Users/hemanth/Coding & Staff/Gnani_ai/tts_results/generated_audio/p229_386.wav,0.5101,"Three years ago, he would have been",0.7999,three years ago he would have been,three years ago he would have been,0.0,0.0,0,0,0,0,0,0,ok,,,,,,,
p276_331,General_English,English,General_English,en-IN,Yashvi,"This year, it will amount to a few hundred thousand pounds.",/Users/hemanth/Coding & Staff/Gnani_ai/tts_results/generated_audio/p276_331.wav,1.0382,"This year, it will amount to a few hundred thousand pounds.",0.8516,this year it will amount to a few hundred thousand pounds,this year it will amount to a few hundred thousand pounds,0.0,0.0,0,0,0,0,0,0,ok,,,,,,,
p259_440,General_English,English,General_English,en-IN,Yashvi,His ambition was made this year when he played alongside his son.),/Users/hemanth/Coding & Staff/Gnani_ai/tts_results/generated_audio/p259_440.wav,0.8466,His ambition was made this year when he played alongside his son.,0.8475,his ambition was made this year when he played alongside his son,his ambition was made this year when he played alongside his son,0.0,0.0,0,0,0,0,0,0,ok,,,,,,,
p234_126,Accent_Diversity,Scottish,Accent_Diversity,en-IN,Yashvi,He wanted to record the group.,/Users/hemanth/Coding & Staff/Gnani_ai/tts_results/generated_audio/p234_126.wav,0.6398,He wanted to record the group.,0.788,he wanted to record the group,he wanted to record the group,0.0,0.0,0,0,0,0,0,0,ok,,,,,,,
p333_358,Accent_Diversity,American,Accent_Diversity,en-IN,Yashvi,It has been recorded twice.,/Users/hemanth/Coding & Staff/Gnani_ai/tts_results/generated_audio/p333_358.wav,0.48,It has been recorded twice.,0.7803,it has been recorded twice,it has been recorded twice,0.0,0.0,0,0,0,0,0,0,ok,,,,,,,
p303_277,Accent_Diversity,Canadian,Accent_Diversity,en-IN,Yashvi,"Last year, however, was a different story.",/Users/hemanth/Coding & Staff/Gnani_ai/tts_results/generated_audio/p303_277.wav,0.6571,"Last year, however, was a different story.",0.816,last year however was a different story,last year however was a different story,0.0,0.0,0,0,0,0,0,0,ok,,,,,,,
p347_134,Accent_Diversity,SouthAfrican,Accent_Diversity,en-IN,Yashvi,This year it will be Billy Crystal.,/Users/hemanth/Coding & Staff/Gnani_ai/tts_results/generated_audio/p347_134.wav,0.5648,This year it will be Billy Crystal.,0.7927,this year it will be billy crystal,this year it will be billy crystal,0.0,0.0,0,0,0,0,0,0,ok,,,,,,,
p245_289,Accent_Diversity,Irish,Accent_Diversity,en-IN,Yashvi,Sunday's game was not a trial.,/Users/hemanth/Coding & Staff/Gnani_ai/tts_results/generated_audio/p245_289.wav,0.6318,Sunday's game was not a trial.,0.8083,sundays game was not a trial,sundays game was not a trial,0.0,0.0,0,0,0,0,0,0,ok,,,,,,,
p330_256,Accent_Diversity,,Accent_Diversity,en-IN,Yashvi,It could have been a hammering by now.,/Users/hemanth/Coding & Staff/Gnani_ai/tts_results/generated_audio/p330_256.wav,0.4846,It could have been a hammering by now.,0.8075,it could have been a hammering by now,it could have been a hammering by now,0.0,0.0,0,0,0,0,0,0,ok,,,,,,,
p304_297,Accent_Diversity,NorthernIrish,Accent_Diversity,en-IN,Yashvi,What will they called?,/Users/hemanth/Coding & Staff/Gnani_ai/tts_results/generated_audio/p304_297.wav,0.5078,What will they call?,0.7601,what will they called,what will they call,0.25,0.1111111111111111,1,0,0,0,2,0,ok,,,,,,,
p335_187,Accent_Diversity,NewZealand,Accent_Diversity,en-IN,Yashvi,We do things in an appropriate way.,/Users/hemanth/Coding & Staff/Gnani_ai/tts_results/generated_audio/p335_187.wav,0.6381,We do things in an appropriate way.,0.7979,we do things in an appropriate way,we do things in an appropriate way,0.0,0.0,0,0,0,0,0,0,ok,,,,,,,
p248_034,Accent_Diversity,,Accent_Diversity,en-IN,Yashvi,Suggestions of the action being a punishment were dismissed.,/Users/hemanth/Coding & Staff/Gnani_ai/tts_results/generated_audio/p248_034.wav,0.7444,Suggestions of the action being a punishment were dismissed.,0.8369,suggestions of the action being a punishment were dismissed,suggestions of the action being a punishment were dismissed,0.0,0.0,0,0,0,0,0,0,ok,,,,,,,
p351_302,Accent_Diversity,NorthernIrish,Accent_Diversity,en-IN,Yashvi,I would love to see it back there.,/Users/hemanth/Coding & Staff/Gnani_ai/tts_results/generated_audio/p351_302.wav,0.6549,I would love to see it back there.,0.8067,i would love to see it back there,i would love to see it back there,0.0,0.0,0,0,0,0,0,0,ok,,,,,,,
p225_177,Technical_Vocabulary,English,Technical_Vocabulary,en-IN,Yashvi,The event was held in the council's headquarters in Hamilton.,/Users/hemanth/Coding & Staff/Gnani_ai/tts_results/generated_audio/p225_177.wav,0.8858,The event was held in the council's headquarters in Hamilton.,0.8418,the event was held in the councils headquarters in hamilton,the event was held in the councils headquarters in hamilton,0.0,0.0,0,0,0,0,0,0,ok,,,,,,,
